no,dbh,x,y
1039,6.63,0.27,3.15
1040,9.52,1.03,2.73
1041,10.48,1.65,1.52
1042,9.93,2.77,0.38
1043,6.2,1.7,3.35
1044,14.7,1.85,4.05
1045,3.65,3.55,0.8
1046,10,3.2,1.24
1047,18.35,4.28,1.23
1048,7.53,4.58,0.7
1049,3.24,3.3,2.75
1050,9.06,3.05,4.53
1051,5.4,0.5,5
1052,7.2,0.7,5.45
1053,11.04,0.32,6.8
1054,12.6,0.65,7.65
1055,3.3,1.3,5.97
1056,5.45,1.3,6
1057,10.07,3.08,6.06
1058,9.33,2.74,6.17
1059,14.82,2.62,8.25
1060,12.12,2.45,9.45
1061,16.2,5,6.75
1062,13.3,4.1,8.1
1063,10.9,4.92,14.16
1064,8.52,3.7,12.05
1065,11.35,2.25,10.82
1066,15.1,2.15,11.9
1067,6.9,1.58,13.95
1068,13.65,1.45,14
1069,11.15,1.3,14
1070,16.78,0.15,12.35
1071,7.85,0.32,11.9
1072,9.56,0.65,11.22
1073,3.92,0.37,11.17
1074,15.2,0.05,17.1
1075,5.22,1.02,18.55
1076,21.2,2.05,18.45
1077,18.28,2.12,15.98
1078,15.87,2.53,15.11
1079,12.18,4.35,15.18
1080,14.22,4,16.14
1081,8.04,3.65,16.85
1082,3.62,3.68,19.2
1083,4.35,3.34,19.2
1084,4.33,3.35,19.85
1085,8.44,2.8,19.7
1086,3.19,2.75,19.65
1087,5.11,4.78,19.82
1088,7.98,5,18.25
1089,8.62,5.48,16.88
1090,16.31,5.38,16.75
1091,4.31,6.55,17.8
1092,19.89,6.75,19.9
1093,6.67,7.07,19.51
1094,5.78,7.65,18.25
1095,14.53,7.95,16.7
1096,5.23,8.93,15.88
1097,4.8,9.25,15.65
1098,9.09,9.25,15.78
1099,14.62,8.4,19.28
1100,4.87,8.78,19.94
1101,16.48,9.85,19.65
1102,15.41,8.6,14.9
1103,5.49,8.95,13.85
1104,18.09,8.85,12.65
1105,10.72,9.95,10
1106,18.65,7.95,10.59
1107,6.43,6.78,12.76
1108,11.23,6.15,14.3
1109,16.15,6.15,12.76
1110,11.25,6.6,10.95
1111,18.69,5.7,11.65
1112,3.43,5.95,13.7
1113,9.01,7.44,5.3
1114,19.39,9.25,5.15
1115,10.85,8.1,7.05
1116,15.01,9.35,7.75
1117,9.56,9.7,7.12
1118,14.18,9.75,7
1119,20.2,10,4.25
1120,7.58,9.55,1.47
1121,4.72,9.95,3.6
1122,12.03,9.27,0.2
1123,23.51,5.9,4.83
1124,16.2,6.35,1.8
1125,11.45,10.23,0.15
1126,16.59,10.37,0.16
1127,8.24,10.15,4
1128,13,11.05,1.9
1129,18.13,12.75,3.15
1130,17.34,12.8,0.75
1131,12.31,14.78,0.9
1132,8.72,14.15,2.5
1133,9.72,10.75,6.45
1134,17.95,10.25,9.9
1135,16.66,11.37,8.4
1136,11.37,12.2,6.55
1137,15.72,14.05,6.1
1138,11.98,14.85,5.45
1139,5.79,14.4,8.65
1140,17.28,14.5,10
1141,12.61,14.2,10
1142,6.25,14.65,10.88
1143,5.88,14.6,13
1144,10.15,14.12,14.4
1145,6.67,12.45,14.45
1146,4.02,11.25,13.58
1147,6.39,11.35,11.85
1148,14.86,11.25,11.6
1149,17.93,11.1,11.7
1150,5.87,10.55,12.65
1151,5.4,10.25,13.6
1152,17.52,11.9,10.37
1153,6.47,11.2,15.65
1154,4.83,10.58,16.25
1155,18.95,10.73,16.95
1156,16.87,10.27,18.77
1157,4.85,10.39,19.13
1158,5.29,11.15,20
1159,16.62,12,19.9
1160,6.15,12.25,18.95
1161,11.8,12.4,17.15
1162,13.4,13.88,16
1163,4.95,14.37,16.25
1164,4.31,13.65,17.1
1165,3.37,13.15,18.87
1166,18.69,14.5,17.05
1167,4.25,14.25,18.6
1168,13.52,14.33,19.45
1169,10.79,13.93,19.4
1170,4.7,15.7,18.65
1171,5.21,15.7,18.45
1172,10.35,16.65,16.2
1173,11.33,18.55,15.21
1174,6.22,17.9,18.67
1175,20.45,18,18.85
1176,12.3,17.85,19.85
1177,6.51,17.9,19.95
1178,9.59,19.12,17.15
1179,4.31,19.85,16.1
1180,9.72,19.95,18.35
1181,9.7,19.75,19.85
1182,11.29,19.45,19.92
1183,13.45,19.65,13.62
1184,7.09,19.65,12.97
1185,15.89,19.9,11.95
1186,4.31,18.45,13.72
1187,19.22,17,14.15
1188,8.31,19.05,10.67
1189,6.9,17.1,11.9
1190,6.59,17.25,11.95
1191,17.21,17.1,12.6
1192,17.55,16.85,12.4
1193,9.8,16.95,12.3
1194,11.5,15.45,7.65
1195,3.23,15,5.6
1196,6.93,16.45,5.1
1197,19.32,17.15,8.25
1198,13.05,17.95,5.4
1199,3.08,19.8,6.75
1200,13.62,17.9,9.4
1201,19.26,19.9,9.7
1202,11.29,19.68,3.2
1203,13.65,19,1.95
1204,14.88,18.85,1.95
1205,11.61,18.7,2.2
1206,6.46,17.85,4.15
1207,6.83,17.45,2.4
1208,8.52,16.4,1.8
1209,3.23,15.95,1.07
1210,19.31,15.15,4.2
1211,14.51,20.12,1.77
1212,6.12,21.55,4.5
1213,22.78,23.98,1.55
1214,20.27,24.83,0.1
1215,7.51,23.85,3.4
1216,3.15,23.85,3.25
1217,8.72,24.2,4.95
1218,4.01,24.27,6.55
1219,8.19,21.85,9.45
1220,10.99,21.85,8.5
1221,19.78,21.95,8.1
1222,11.5,21.95,7.55
1223,10.6,23.85,5.8
1224,11.49,21.7,5.3
1225,12.18,20.17,5.71
1226,11.36,20.1,12.1
1227,10.81,22.45,10.15
1228,8.9,23.8,11.7
1229,9.79,22.8,14.4
1230,16.35,22.4,15.3
1231,11.85,24.1,17.15
1232,14.91,24.1,17.5
1233,13.3,23.85,17.8
1234,5.19,23.9,17.85
1235,3.68,22.25,18.05
1236,9,21.6,17.6
1237,9.26,21.5,17.62
1238,10.52,21.7,17.25
1239,9.5,20.71,15.3
1240,18.37,20.35,15.45
1241,6.55,25.45,19.4
1242,10.06,25.27,20
1243,10.29,25.73,15.85
1244,9.89,26,15.8
1245,6.2,27.65,17.6
1246,11.11,27.6,18.38
1247,5.03,27.6,18.55
1248,6.46,27.55,19.06
1249,4.11,27.55,19.28
1250,15.98,28.72,19.9
1251,4.51,29.05,19.05
1252,6.45,28.25,17.75
1253,8.31,29.25,17.25
1254,5.84,29.35,19
1255,12.27,29.35,19.25
1256,14.19,27.65,14.45
1257,9.41,28.4,13.9
1258,3.82,28.6,13.22
1259,10.63,28.8,11.8
1260,10.25,29.9,11.55
1261,16.79,29.7,11.7
1262,6.19,27.15,13.9
1263,5.76,27.15,13.8
1264,5.1,27.13,12.4
1265,5.64,27.1,11.65
1266,6.58,27,12.9
1267,14.53,26.55,13.55
1268,14.28,26.45,13.8
1269,4.05,25.28,13.8
1270,3.97,25.25,13.8
1271,16.5,25.8,12.9
1272,5.14,26.2,12.25
1273,15.02,26.95,12.4
1274,3.39,25.9,10.3
1275,3.6,25.5,10.1
1276,3.2,25.3,10.5
1277,14.55,25.25,9.85
1278,9.59,25.45,9.85
1279,8.62,25.9,9.4
1280,11.21,26.45,8.85
1281,18.05,25.95,7.75
1282,18.01,26.75,7.65
1283,8.11,25.54,6.95
1284,13.22,25.17,5.65
1285,4.69,26.9,5.25
1286,13.89,27.05,5.25
1287,17.06,28.25,5.75
1288,4.93,28.35,5.85
1289,9.52,30,6.05
1290,6.63,29.68,6.55
1291,5.33,29.75,7.35
1292,10.39,29.85,7.5
1293,6.69,29.75,3.35
1294,5.58,29.3,3.25
1295,12.49,29.55,0.9
1296,17.83,29.35,0.95
1297,13.6,28.55,1.95
1298,22.05,27.8,2.5
1299,3.65,27.6,2.5
1300,7.49,27.25,4.65
1301,13.38,27.9,0.7
1302,4.59,26.45,3.05
1303,7.25,26,2.8
1304,11.95,26.35,0.37
